Obs#,Time,Date,configName,configAuthor,remark,Column,Row,Treatment,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
11,14:05:10,4/29/2024,TIM2024,Zach Peagler,,1,11,CBG,1.003421,2.923612,0.74703,7.044013,1.955886,1.764859,2.86002,0.904134,17.955088,19.898533,29.096888,0.441786,PSF-01133_20240429140510,0,0,0,127.973198,409.611237,0.687574,0.5,0.8,36.33503,79.59,71.82,20.75,23.23,98.29,156.9,155.6,0.9,132,3.781,2,4,212,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.114,0.468,-9999,0.22,0.412,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.523422,2.448967,1.691648,0.951744,0.323337,0.030071,0.199991,0.224991,127.973198,0.000349,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140510,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
12,14:05:18,4/29/2024,TIM2024,Zach Peagler,,1,13,Control,0.812773,2.921839,0.635887,6.630295,1.945042,1.764967,2.944406,0.999363,17.956732,19.788813,29.95631,0.441786,PSF-01133_20240429140518,0,0,0,158.7789,359.624146,0.558487,0.5,0.8,28.110229,78.78,71.49,20.82,23.72,98.29,156.7,45.5,70.9,126,3.779,3,0,185,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.056,0.282,0.41,152.036,76.116,37.224,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.522953,2.447941,1.689732,0.691818,0.322366,0.034771,0.200929,0.21941,158.7789,0.000348,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140518,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
13,14:05:30,4/29/2024,TIM2024,Zach Peagler,,2,1,CG,0.576459,2.921888,0.48147,4.891461,1.889438,1.756523,2.863815,0.974377,17.871689,19.224022,29.137789,0.441786,PSF-01133_20240429140530,0,0,0,132.502563,465.802429,0.715539,0.5,0.8,34.872803,75.99,70.65,20.94,23.26,98.29,156.7,155.9,0.5,122,3.78,-12,7,230,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,-0.042,0.169,0.334,130.561,66.077,30.994,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.521756,2.444404,1.689786,0.952584,0.320879,0.028178,0.202383,0.215864,132.502563,0.000355,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140530,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
14,14:05:42,4/29/2024,TIM2024,Zach Peagler,,2,2,Control,0.619039,2.921964,0.510819,4.969593,1.89569,1.76066,2.828964,0.933274,17.912451,19.286215,28.78108,0.441786,PSF-01133_20240429140542,0,0,0,130.635025,439.670563,0.70288,0.5,0.8,39.541908,75.65,70.26,21.06,23.05,98.29,156.7,155.7,0.7,141,3.779,-9,-1,264,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,-0.239,0.021,0.27,-20.627,13.843,6.801,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.521197,2.443955,1.689867,0.952023,0.319254,0.024432,0.203934,0.23257,130.635025,0.000358,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140542,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
15,14:05:51,4/29/2024,TIM2024,Zach Peagler,,2,3,Liquid,0.546091,2.922096,0.460105,4.68708,1.884283,1.756923,2.861442,0.977159,17.873938,19.169622,29.110682,0.441786,PSF-01133_20240429140551,0,0,0,133.383759,392.602814,0.660258,0.5,0.8,33.974861,74.82,69.76,21.15,23.24,98.3,156.8,155.6,0.7,129,3.778,-18,-6,326,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.129,0.138,0.231,0.809,11.314,4.945,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.520483,2.442891,1.69001,0.951772,0.318207,0.025668,0.204885,0.221907,133.383759,0.000355,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140551,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
16,14:06:03,4/29/2024,TIM2024,Zach Peagler,,2,4,CBG,0.467679,2.921691,0.403147,4.343789,1.887892,1.769825,2.921109,1.033217,18.004826,19.205954,29.7171,0.441786,PSF-01133_20240429140603,0,0,0,124.868629,413.722168,0.698182,0.5,0.8,34.844093,74.44,69.78,21.26,23.58,98.3,156.7,155.4,0.8,125,3.778,-19,0,313,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.096,0.239,0.424,41.592,20.301,10.453,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.52048,2.442384,1.689573,0.951176,0.316736,0.028287,0.206278,0.218464,124.868629,0.000357,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140603,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
17,14:06:19,4/29/2024,TIM2024,Zach Peagler,,2,7,Liquid,0.404325,2.920614,0.355158,3.407112,1.89943,1.80675,2.819823,0.920393,18.379683,19.322496,28.685455,0.441786,PSF-01133_20240429140619,0,0,0,121.599556,386.881104,0.685693,0.5,0.8,34.177055,74.12,70.51,21.43,23,98.3,156.6,155.4,0.8,125,3.776,-9,0,323,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,-0.206,-0.286,-0.003,97.484,1.398,15.138,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.521451,2.441961,1.688414,0.951121,0.314612,0.019699,0.208274,0.218323,121.599556,0.000354,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140619,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
18,14:06:27,4/29/2024,TIM2024,Zach Peagler,,2,8,CBG,0.789823,2.921659,0.621745,5.852221,1.972904,1.813973,2.87531,0.902406,18.4541,20.070948,29.251402,0.441786,PSF-01133_20240429140627,0,0,0,124.949455,373.219727,0.665212,0.5,0.8,34.757362,76.63,70.46,21.51,23.32,98.3,156.7,155.8,0.6,131,3.748,-16,5,273,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.266,0.624,-9999,0.099,-1.49,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.521367,2.445114,1.689538,0.952151,0.31365,0.022519,0.209121,0.223669,124.949455,0.000346,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140627,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
19,14:06:35,4/29/2024,TIM2024,Zach Peagler,,2,9,CG,0.589164,2.922739,0.490325,4.987282,1.944421,1.809059,2.919471,0.97505,18.404575,19.781687,29.70142,0.441786,PSF-01133_20240429140635,0,0,0,126.329185,404.391296,0.687607,0.5,0.8,35.4468,75.19,69.96,21.58,23.58,98.29,156.8,155.4,0.9,129,3.776,-16,4,264,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.016,0.391,-9999,0.413,0.074,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.520656,2.443285,1.690704,0.951226,0.312745,0.0246,0.209907,0.222116,126.329185,0.000354,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140635,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
20,14:06:47,4/29/2024,TIM2024,Zach Peagler,,2,11,Liquid,0.57305,2.920552,0.479053,4.608947,1.942328,1.817018,2.86486,0.922532,18.486015,19.760891,29.146568,0.441786,PSF-01133_20240429140647,0,0,0,130.511993,436.125031,0.700746,0.5,0.8,37.388878,74.54,69.73,21.7,23.26,98.29,156.6,156,0.4,133,3.746,-18,2,268,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.105,0.194,0.254,18.361,9.453,4.874,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.520311,2.442439,1.688348,0.952708,0.31118,0.019597,0.211358,0.226125,130.511993,0.00036,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140647,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
21,14:06:55,4/29/2024,TIM2024,Zach Peagler,,2,12,CBG,0.644493,2.922898,0.528057,5.333811,1.962253,1.817534,2.930378,0.968125,18.49107,19.963408,29.812834,0.441786,PSF-01133_20240429140655,0,0,0,122.835159,424.138428,0.710389,0.5,0.8,38.304241,74.96,69.43,21.78,23.64,98.29,156.9,155.7,0.8,135,3.746,-17,11,267,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.115,0.303,-9999,0.21,0.324,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.519878,2.442957,1.690876,0.951872,0.310246,0.023043,0.212189,0.227379,122.835159,0.000359,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140655,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
22,14:07:02,4/29/2024,TIM2024,Zach Peagler,,2,13,CG,0.362676,2.920383,0.322611,3.695173,1.926327,1.825829,3.023838,1.09751,18.575083,19.597507,30.763041,0.441786,PSF-01133_20240429140702,0,0,0,137.580154,416.00238,0.66928,0.5,0.8,36.374611,73.27,69.45,21.85,24.16,98.29,156.5,155.3,0.8,136,3.774,-3,13,215,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,-0.171,0.199,-9999,136.428,68.491,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.519887,2.440811,1.688167,0.951051,0.309372,0.028258,0.212961,0.228331,137.580154,0.000357,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140702,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
23,14:07:11,4/29/2024,TIM2024,Zach Peagler,,3,1,CBG,0.390013,2.922718,0.344096,4.000915,1.921057,1.812434,3.03519,1.114133,18.438061,19.543098,30.877281,0.441786,PSF-01133_20240429140711,0,0,0,137.574081,400.444153,0.656446,0.5,0.8,31.94759,72.69,68.58,21.93,24.22,98.3,156.8,155.6,0.8,122,3.774,-9,3,224,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.061,0.154,0.111,0.561,-0.641,-1.254,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.518659,2.44006,1.690681,0.951761,0.308312,0.028006,0.213911,0.215711,137.083054,0.000354,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140711,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
24,14:07:26,4/29/2024,TIM2024,Zach Peagler,,3,2,CG,0.340453,2.920137,0.304905,3.195992,1.905469,1.818502,2.910643,1.005174,18.498762,19.383432,29.608591,0.441786,PSF-01133_20240429140726,0,0,0,142.364853,388.135681,0.633209,0.5,0.8,32.755482,71.49,68.23,22.07,23.53,98.3,156.5,155.2,0.8,129,3.773,-15,1,178,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,-0.012,0.138,0.231,135.334,68.628,34.375,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.51814,2.438519,1.687902,0.950723,0.306602,0.018411,0.21551,0.222512,139.90509,0.000358,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140726,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
25,14:07:33,4/29/2024,TIM2024,Zach Peagler,,3,3,Control,0.313923,2.921651,0.283465,3.188419,1.885316,1.798637,2.963822,1.078506,18.295801,19.177504,30.148104,0.441786,PSF-01133_20240429140733,0,0,0,134.875061,393.495087,0.657238,0.5,0.8,33.84478,70.43,67.19,22.14,23.83,98.31,156.7,154.5,1.4,129,3.773,-11,0,186,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,-0.061,0.058,-9999,0.623,0.612,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.516672,2.437151,1.68953,0.948701,0.305711,0.021035,0.216321,0.221993,134.875061,0.00036,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140733,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
26,14:07:42,4/29/2024,TIM2024,Zach Peagler,,3,4,Liquid,0.356027,2.920789,0.317344,3.087876,1.904287,1.820304,2.837749,0.933463,18.517092,19.371405,28.867081,0.441786,PSF-01133_20240429140742,0,0,0,150.082825,375.595459,0.600414,0.5,0.8,32.596886,70.79,67.67,22.22,23.11,98.3,156.6,154.2,1.5,136,3.773,-10,-2,305,,,,,,,,0:00:00,0000-00-00,nan,nan,nan,0,nan,14:03:11,4/29/2024,-1.57,0.078,0.206,0.172,0.006,0.274,-0.664,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.51732,2.437598,1.688603,0.948019,0.304734,0.011881,0.217185,0.228202,150.082825,0.000354,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240429140742,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-04-29T17:45:45.604Z
